Finished: True Number of tries: 1920 Number of failures: 0 Number of results: 1920
UTF-8 String: 'Ř'   , Hex: 0xc5 0x98
UTF-8 String: 'ř'   , Hex: 0xc5 0x99
UTF-8 String: 'Ś'   , Hex: 0xc5 0x9a
UTF-8 String: 'ś'   , Hex: 0xc5 0x9b
UTF-8 String: 'Ŝ'   , Hex: 0xc5 0x9c
UTF-8 String: 'ŝ'   , Hex: 0xc5 0x9d
UTF-8 String: 'Ş'   , Hex: 0xc5 0x9e
UTF-8 String: 'ş'   , Hex: 0xc5 0x9f
UTF-8 String: 'Š'   , Hex: 0xc5 0xa0
UTF-8 String: 'š'   , Hex: 0xc5 0xa1
UTF-8 String: 'Ţ'   , Hex: 0xc5 0xa2
UTF-8 String: 'ţ'   , Hex: 0xc5 0xa3
UTF-8 String: 'Ť'   , Hex: 0xc5 0xa4
UTF-8 String: 'ť'   , Hex: 0xc5 0xa5
UTF-8 String: 'Ŧ'   , Hex: 0xc5 0xa6
UTF-8 String: 'ŧ'   , Hex: 0xc5 0xa7
UTF-8 String: 'Ũ'   , Hex: 0xc5 0xa8
UTF-8 String: 'ũ'   , Hex: 0xc5 0xa9
UTF-8 String: 'Ū'   , Hex: 0xc5 0xaa
UTF-8 String: 'ū'   , Hex: 0xc5 0xab
UTF-8 String: 'Ŭ'   , Hex: 0xc5 0xac
UTF-8 String: 'ŭ'   , Hex: 0xc5 0xad
UTF-8 String: 'Ů'   , Hex: 0xc5 0xae
UTF-8 String: 'ů'   , Hex: 0xc5 0xaf
UTF-8 String: 'Ű'   , Hex: 0xc5 0xb0
UTF-8 String: 'ű'   , Hex: 0xc5 0xb1
UTF-8 String: 'Ų'   , Hex: 0xc5 0xb2
UTF-8 String: 'ų'   , Hex: 0xc5 0xb3
UTF-8 String: 'Ŵ'   , Hex: 0xc5 0xb4
UTF-8 String: 'ŵ'   , Hex: 0xc5 0xb5
UTF-8 String: 'Ŷ'   , Hex: 0xc5 0xb6
UTF-8 String: 'ŷ'   , Hex: 0xc5 0xb7
UTF-8 String: 'Ÿ'   , Hex: 0xc5 0xb8
UTF-8 String: 'Ź'   , Hex: 0xc5 0xb9
UTF-8 String: 'ź'   , Hex: 0xc5 0xba
UTF-8 String: 'Ż'   , Hex: 0xc5 0xbb
UTF-8 String: 'ż'   , Hex: 0xc5 0xbc
UTF-8 String: 'Ž'   , Hex: 0xc5 0xbd
UTF-8 String: 'ž'   , Hex: 0xc5 0xbe
UTF-8 String: 'ſ'   , Hex: 0xc5 0xbf
UTF-8 String: 'ƀ'   , Hex: 0xc6 0x80
UTF-8 String: 'Ɓ'   , Hex: 0xc6 0x81
UTF-8 String: 'Ƃ'   , Hex: 0xc6 0x82
UTF-8 String: 'ƃ'   , Hex: 0xc6 0x83
UTF-8 String: 'Ƅ'   , Hex: 0xc6 0x84
UTF-8 String: 'ƅ'   , Hex: 0xc6 0x85
UTF-8 String: 'Ɔ'   , Hex: 0xc6 0x86
UTF-8 String: 'Ƈ'   , Hex: 0xc6 0x87
UTF-8 String: 'ƈ'   , Hex: 0xc6 0x88
UTF-8 String: 'Ɖ'   , Hex: 0xc6 0x89
UTF-8 String: 'Ɗ'   , Hex: 0xc6 0x8a
UTF-8 String: 'Ƌ'   , Hex: 0xc6 0x8b
UTF-8 String: 'ƌ'   , Hex: 0xc6 0x8c
UTF-8 String: 'ƍ'   , Hex: 0xc6 0x8d
UTF-8 String: 'Ǝ'   , Hex: 0xc6 0x8e
UTF-8 String: 'Ə'   , Hex: 0xc6 0x8f
UTF-8 String: 'Ɛ'   , Hex: 0xc6 0x90
UTF-8 String: 'Ƒ'   , Hex: 0xc6 0x91
UTF-8 String: 'ƒ'   , Hex: 0xc6 0x92
UTF-8 String: 'Ɠ'   , Hex: 0xc6 0x93
UTF-8 String: 'Ɣ'   , Hex: 0xc6 0x94
UTF-8 String: 'ƕ'   , Hex: 0xc6 0x95
UTF-8 String: 'Ɩ'   , Hex: 0xc6 0x96
UTF-8 String: 'Ɨ'   , Hex: 0xc6 0x97
UTF-8 String: 'Ƙ'   , Hex: 0xc6 0x98
UTF-8 String: 'ƙ'   , Hex: 0xc6 0x99
UTF-8 String: 'ƚ'   , Hex: 0xc6 0x9a
UTF-8 String: 'ƛ'   , Hex: 0xc6 0x9b
UTF-8 String: 'Ɯ'   , Hex: 0xc6 0x9c
UTF-8 String: 'Ɲ'   , Hex: 0xc6 0x9d
UTF-8 String: 'ƞ'   , Hex: 0xc6 0x9e
UTF-8 String: 'Ɵ'   , Hex: 0xc6 0x9f
UTF-8 String: 'Ơ'   , Hex: 0xc6 0xa0
UTF-8 String: 'ơ'   , Hex: 0xc6 0xa1
UTF-8 String: 'Ƣ'   , Hex: 0xc6 0xa2
UTF-8 String: 'ƣ'   , Hex: 0xc6 0xa3
UTF-8 String: 'Ƥ'   , Hex: 0xc6 0xa4
UTF-8 String: 'ƥ'   , Hex: 0xc6 0xa5
UTF-8 String: 'Ʀ'   , Hex: 0xc6 0xa6
UTF-8 String: 'Ƨ'   , Hex: 0xc6 0xa7
UTF-8 String: 'ƨ'   , Hex: 0xc6 0xa8
UTF-8 String: 'Ʃ'   , Hex: 0xc6 0xa9
UTF-8 String: 'ƪ'   , Hex: 0xc6 0xaa
UTF-8 String: 'ƫ'   , Hex: 0xc6 0xab
UTF-8 String: 'Ƭ'   , Hex: 0xc6 0xac
UTF-8 String: 'ƭ'   , Hex: 0xc6 0xad
UTF-8 String: 'Ʈ'   , Hex: 0xc6 0xae
UTF-8 String: 'Ư'   , Hex: 0xc6 0xaf
UTF-8 String: 'ư'   , Hex: 0xc6 0xb0
UTF-8 String: 'Ʊ'   , Hex: 0xc6 0xb1
UTF-8 String: 'Ʋ'   , Hex: 0xc6 0xb2
UTF-8 String: 'Ƴ'   , Hex: 0xc6 0xb3
UTF-8 String: 'ƴ'   , Hex: 0xc6 0xb4
UTF-8 String: 'Ƶ'   , Hex: 0xc6 0xb5
UTF-8 String: 'ƶ'   , Hex: 0xc6 0xb6
UTF-8 String: 'Ʒ'   , Hex: 0xc6 0xb7
UTF-8 String: 'Ƹ'   , Hex: 0xc6 0xb8
UTF-8 String: 'ƹ'   , Hex: 0xc6 0xb9
UTF-8 String: 'ƺ'   , Hex: 0xc6 0xba
UTF-8 String: 'ƻ'   , Hex: 0xc6 0xbb
UTF-8 String: 'Ƽ'   , Hex: 0xc6 0xbc
UTF-8 String: 'ƽ'   , Hex: 0xc6 0xbd
UTF-8 String: 'ƾ'   , Hex: 0xc6 0xbe
UTF-8 String: 'ƿ'   , Hex: 0xc6 0xbf
UTF-8 String: 'ǀ'   , Hex: 0xc7 0x80
